위치,시설,규모,최대 수용인원,이동약자 접근성
"신주소: 서울특별시 광진구 자양로 76 (자양동, 동서울우편집중국)
구주소: 서울특별시 광진구 자양동 680번지 65호","동서울우편집중국 지하주차장 2층
(공공시설)",4235㎡,5124명,정보 없음
"신주소: 서울특별시 광진구 자양로13길 37 (자양동, 자양제1동주민센터)
구주소: 서울특별시 광진구 자양동 630번지 1호","자양1동 주민센터 지하주차장 1층
(공공시설)",422㎡,511명,정보 없음
"신주소: 서울특별시 광진구 자양로26길 71 (구의동, 구의동새한아파트)
구주소: 서울특별시 광진구 구의동 656번지","새한아파트 주차장 지하1층
(공공시설)",5441㎡,6584명,정보 없음
"신주소: 서울특별시 광진구 자양로3가길 26 (자양동, 자양2동주민센터)
구주소: 서울특별시 광진구 자양동 669번지 2호","자양2동주민센터 지하주차장 1층
(공공시설)",568㎡,687명,정보 없음
"신주소: 서울특별시 광진구 자양로3가길 43 (자양동, 현대강변아파트)
구주소: 서울특별시 광진구 자양동 673번지","강변현대아파트 지하주차장 지하1~2층
(공공시설)",3024㎡,3659명,정보 없음
"신주소: 서울특별시 광진구 천호대로 572 (능동)
구주소: 서울특별시 광진구 능동 222번지 3호","범천타워 지하 1~4층
(공공시설)",3372㎡,4080명,정보 없음
"신주소: 서울특별시 광진구 천호대로 605 (중곡동, JS빌딩)
구주소: 서울특별시 광진구 중곡동 131번지 8호","JS빌딩 지하1층
(공공시설)",463㎡,560명,정보 없음
"신주소: 서울특별시 광진구 천호대로 지하 550
구주소: 서울특별시 광진구 능동 275번지 5호","군자역 지하 1~3층
(공공시설)",10129㎡,12256명,정보 없음
"신주소: 서울특별시 광진구 천호대로 지하657, 5호선 아차산역 지하 (능동)
구주소: 서울특별시 광진구 능동 256-16 5호선 아차산역","아차산역(5호선) 대합실 지하 1~2층
(공공시설)",6664㎡,8063명,정보 없음
"신주소: 서울특별시 광진구 천호대로112길 55, 능동주민센터 (능동)
구주소: 서울특별시 광진구 능동 232-4 능동주민센터","능동 주민센터 지하 1층
(공공시설)",365㎡,442명,정보 없음
"신주소: 서울특별시 광진구 천호대로113길 10 (중곡동, 서울용마초등학교)
구주소: 서울특별시 광진구 중곡동 135번지 1호","용마초등학교 지하1층
(공공시설)",945㎡,1143명,정보 없음
"신주소: 서울특별시 광진구 천호대로136길 55, 구의2동 복합청사 (구의동)
구주소: 서울특별시 광진구 구의동 63-6 구의2동 복합청사","구의2동 복합청사 지하주차장 지하1~3층
(공공시설)",3126㎡,3782명,정보 없음
,,,0,
